fmun;munic;ano;mes;hom_doloso;latrocinio;hom_culposo;lesao_corp_morte;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;roubo_transeunte;roubo_celular;roubo_veiculo;furto_veiculos;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_conducao;extorsao;sequestro;furto_transeunte;furto_celular;furto_bicicleta;outros_furtos;apreensoes_drogas;posse_drogas;trafico_drogas;armas_apreendidas;registro_ocorrencias
3304557;Rio de Janeiro;2024;1;82;3;42;2;87;115;380;95;1420;910;620;310;110;190;48;1;250;85;4;410;630;78;1150;530;185;345;220;8900
3304557;Rio de Janeiro;2024;2;78;2;38;1;81;108;365;90;1380;890;590;295;105;175;42;0;235;80;3;395;610;72;1110;510;175;335;205;8600
3304557;Rio de Janeiro;2024;3;85;4;45;3;92;120;395;98;1460;940;640;325;118;200;50;2;260;90;5;425;650;82;1190;545;190;355;230;9100
3303302;Niterói;2024;1;14;0;8;0;14;22;65;16;180;120;75;38;12;25;8;0;32;12;0;55;85;18;160;70;24;46;28;1250
3303302;Niterói;2024;2;12;1;7;0;13;19;60;14;165;110;70;35;10;22;6;0;28;10;0;50;78;15;148;65;20;45;25;1180
3304904;São Gonçalo;2024;1;38;1;18;1;40;45;140;32;420;260;310;95;45;55;16;0;65;22;1;110;150;22;320;120;38;82;60;2400
3301702;Duque de Caxias;2024;1;34;2;16;1;37;42;135;28;390;245;280;85;52;48;14;0;58;19;1;95;140;18;290;115;35;80;55;2250
3303500;Nova Iguaçu;2024;1;30;1;15;1;32;38;125;26;360;220;250;75;40;42;12;0;52;18;0;88;130;15;270;105;30;75;48;2100
3303906;Petrópolis;2024;1;3;0;4;0;3;8;35;8;25;18;8;5;1;6;2;0;4;3;0;18;25;6;60;25;12;13;6;450
3306305;Volta Redonda;2024;1;6;0;5;0;6;12;45;10;45;30;15;8;2;9;4;0;6;5;0;28;38;9;85;35;15;20;12;620
3302403;Macaé;2024;1;8;0;6;0;8;14;52;12;65;42;22;12;4;12;5;0;8;7;0;35;48;11;110;48;18;30;18;780
3300704;Cabo Frio;2024;1;7;0;5;0;7;11;48;11;55;38;18;10;3;10;4;0;7;6;0;30;42;10;95;42;16;26;15;690
