Municipio,Natureza,Ano,Janeiro,Fevereiro,Marco,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,Total
"São Paulo","HOMICÍDIO DOLOSO (2)",2026,34,39,49,43,23,39,33,0,0,0,0,0,260
"São Paulo","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO (3)",2026,35,39,49,45,24,40,33,0,0,0,0,0,265
"São Paulo","HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",2026,0,0,1,3,0,0,5,0,0,0,0,0,9
"São Paulo","Nº DE VÍTIMAS EM HOMICÍDIO DOLOSO POR ACIDENTE DE TRÂNSITO",2026,0,0,1,3,0,0,5,0,0,0,0,0,9
"São Paulo","HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO",2026,36,35,56,47,49,45,56,0,0,0,0,0,324
"São Paulo","HOMICÍDIO CULPOSO OUTROS",2026,2,4,4,1,3,0,3,0,0,0,0,0,17
"São Paulo","TENTATIVA DE HOMICÍDIO",2026,52,62,51,68,58,50,57,0,0,0,0,0,398
"São Paulo","LESÃO CORPORAL SEGUIDA DE MORTE",2026,4,2,1,2,2,2,1,0,0,0,0,0,14
"São Paulo","LESÃO CORPORAL DOLOSA",2026,3272,3453,4029,3889,3440,3414,3472,0,0,0,0,0,24969
"São Paulo","LESÃO CORPORAL CULPOSA POR ACIDENTE DE TRÂNSITO",2026,1130,1146,1351,1169,1110,1080,1130,0,0,0,0,0,8116
"São Paulo","LESÃO CORPORAL CULPOSA - OUTRAS",2026,58,65,90,74,71,52,63,0,0,0,0,0,473
"São Paulo","LATROCÍNIO",2026,2,1,3,4,5,1,0,0,0,0,0,0,16
"São Paulo","Nº DE VÍTIMAS EM LATROCÍNIO",2026,2,1,3,4,5,1,0,0,0,0,0,0,16
"São Paulo","TOTAL DE ESTUPRO (4)",2026,245,256,327,303,263,254,259,0,0,0,0,0,1907
"São Paulo","ESTUPRO",2026,69,52,67,88,68,55,52,0,0,0,0,0,451
"São Paulo","ESTUPRO DE VULNERÁVEL",2026,176,204,260,215,195,199,207,0,0,0,0,0,1456
"São Paulo","TOTAL DE ROUBO - OUTROS (1)",2026,7420,7450,8049,7459,7410,6861,6883,0,0,0,0,0,51532
"São Paulo","ROUBO - OUTROS",2026,7304,7341,7943,7347,7312,6764,6784,0,0,0,0,0,50795
"São Paulo","ROUBO DE VEÍCULO",2026,510,583,648,582,565,504,565,0,0,0,0,0,3957
"São Paulo","ROUBO A BANCO",2026,0,0,0,0,0,0,0,0,0,0,0,0,0
"São Paulo","ROUBO DE CARGA",2026,116,109,106,112,98,97,99,0,0,0,0,0,737
"São Paulo","FURTO - OUTROS",2026,19628,20374,21007,20114,20650,19033,19569,0,0,0,0,0,140375
"São Paulo","FURTO DE VEÍCULO",2026,3077,2930,3229,2932,3113,2813,3402,0,0,0,0,0,21496
