cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
2507507,João Pessoa,2024,1,22,2,1,1,110,95,540,92,34,42,820,28,180,72
2504009,Campina Grande,2024,1,14,1,0,0,65,48,260,45,18,16,390,16,95,40
2513703,Santa Rita,2024,1,9,1,0,0,32,24,140,22,10,12,190,9,55,24
2510808,Patos,2024,1,6,0,0,0,22,18,95,16,8,5,140,6,38,15
2501807,Bayeux,2024,1,7,1,0,0,26,20,115,18,7,8,160,8,44,18
2516201,Sousa,2024,1,3,0,0,0,12,10,55,9,4,2,80,4,22,9
2503209,Cabedelo,2024,1,4,0,0,0,16,14,75,12,6,4,110,5,30,12
2503704,Cajazeiras,2024,1,3,0,0,0,11,9,50,8,4,2,75,4,20,8
2506301,Guarabira,2024,1,3,0,0,0,10,8,48,7,3,2,70,3,18,7
2508901,Mamanguape,2024,1,2,0,0,0,8,7,38,6,3,1,55,3,15,6
2512721,Queimadas,2024,1,2,0,0,0,7,6,35,5,2,1,50,2,14,5
2515302,São Bento,2024,1,2,0,0,0,6,5,30,4,2,1,45,2,12,5
2509701,Monteiro,2024,1,1,0,0,0,5,4,25,3,2,1,38,2,10,4
2506004,Esperança,2024,1,1,0,0,0,5,4,24,3,1,1,35,2,9,4
2511202,Pedras de Fogo,2024,1,2,0,0,0,6,5,28,4,2,1,40,2,11,5
2504603,Conde,2024,1,2,0,0,0,7,6,32,5,2,1,48,2,13,5
