cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,pirataria_fluvial,furto,estupro,trafico_drogas,apreensao_armas
1501402,Belém,2024,1,18,2,1,0,85,62,450,88,32,45,6,680,24,142,55
1500800,Ananindeua,2024,1,12,1,0,0,54,38,280,45,18,22,2,390,16,88,34
1506807,Santarém,2024,1,5,0,0,0,18,25,95,22,14,5,4,210,12,45,18
1504208,Marabá,2024,1,8,1,0,1,28,30,130,28,15,8,1,240,14,56,26
1505536,Parauapebas,2024,1,6,0,1,0,24,32,110,25,12,4,0,225,10,48,22
1502400,Castanhal,2024,1,7,1,0,0,22,18,105,19,9,6,0,180,8,38,16
1500107,Abaetetuba,2024,1,4,0,0,0,12,14,65,12,8,2,8,120,6,28,12
1502103,Cametá,2024,1,3,0,0,0,8,10,45,8,5,1,5,95,5,19,8
1500602,Altamira,2024,1,5,0,0,0,14,16,70,14,7,3,2,135,7,31,14
1501709,Bragança,2024,1,2,0,0,0,6,12,40,9,4,2,1,88,4,18,7
1508100,Tucuruí,2024,1,3,0,0,0,10,15,55,11,6,2,3,110,5,22,9
1503606,Itaituba,2024,1,4,0,0,0,11,18,60,13,7,2,2,125,6,25,11
1501303,Barcarena,2024,1,5,1,0,0,16,15,75,16,8,4,4,140,7,33,13
1505502,Paragominas,2024,1,4,0,0,0,12,16,58,12,6,2,0,115,5,24,10
1506138,Redenção,2024,1,3,0,0,0,9,14,50,10,5,1,0,105,4,20,8
1507300,São Félix do Xingu,2024,1,4,0,0,0,7,11,35,7,4,1,1,75,3,16,9
