cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
1600303,Macapá,2024,1,25,2,2,1,170,130,700,100,45,50,880,32,220,90
1600600,Santana,2024,1,12,1,1,0,80,58,280,42,16,16,360,11,90,30
1600279,Laranjal do Jari,2024,1,7,1,0,0,38,28,140,20,9,7,180,6,48,16
1600501,Oiapoque,2024,1,6,0,0,0,30,22,110,16,7,5,150,5,42,14
1600535,Porto Grande,2024,1,4,0,0,0,20,15,70,10,5,3,100,4,28,8
1600402,Mazagão,2024,1,4,0,0,0,22,16,75,12,5,4,110,4,30,9
1600709,Tartarugalzinho,2024,1,2,0,0,0,12,9,40,6,3,2,60,2,18,5
1600154,Pedra Branca do Amapari,2024,1,3,0,0,0,15,11,50,8,4,2,72,2,22,6
1600808,Vitória do Jari,2024,1,2,0,0,0,10,8,35,5,2,2,52,2,16,4
1600204,Calçoene,2024,1,2,0,0,0,12,9,38,6,3,2,55,2,18,5
1600105,Amapá,2024,1,1,0,0,0,8,6,28,4,2,1,40,1,12,3
1600238,Ferreira Gomes,2024,1,1,0,0,0,6,5,20,3,1,1,30,1,10,2
1600212,Cutias,2024,1,1,0,0,0,4,3,15,2,1,1,22,1,8,2
1600253,Itaubal,2024,1,1,0,0,0,4,3,14,2,1,1,20,1,7,2
1600550,Pracuúba,2024,1,1,0,0,0,3,2,12,1,1,1,18,1,6,1
1600055,Serra do Navio,2024,1,1,0,0,0,5,4,16,2,1,1,25,1,8,2
