cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
5002704,Campo Grande,2024,1,32,3,2,1,210,160,850,135,55,70,1100,40,280,110
5003702,Dourados,2024,1,16,1,1,0,110,75,380,58,24,25,480,16,130,45
5008305,Três Lagoas,2024,1,10,1,0,0,55,42,190,32,14,12,280,10,75,28
5003207,Corumbá,2024,1,8,0,0,0,42,32,150,24,10,8,210,8,62,22
5006608,Ponta Porã,2024,1,14,1,1,0,78,56,260,42,18,16,340,12,190,55
5006202,Naviraí,2024,1,5,0,0,0,20,15,70,12,6,4,110,4,32,12
5006301,Nova Andradina,2024,1,4,0,0,0,18,13,62,10,5,3,98,4,28,10
5007901,Sidrolândia,2024,1,4,0,0,0,16,12,55,9,4,3,90,3,25,8
5001102,Aquidauana,2024,1,5,0,0,0,17,13,60,10,5,4,95,4,26,9
5005402,Maracaju,2024,1,3,0,0,0,14,10,48,8,4,2,78,3,22,7
5006350,Paranaíba,2024,1,3,0,0,0,12,9,42,7,3,2,70,3,18,6
5000609,Amambai,2024,1,5,0,0,0,22,16,75,12,6,4,120,4,45,14
5007208,Rio Brilhante,2024,1,3,0,0,0,11,8,38,6,3,2,62,2,16,5
5003306,Coxim,2024,1,2,0,0,0,8,6,28,4,2,1,45,2,12,4
5002407,Caarapó,2024,1,2,0,0,0,9,7,30,5,2,1,48,2,14,4
5005600,Miranda,2024,1,2,0,0,0,7,5,24,4,2,1,38,2,10,3
5005006,Jardim,2024,1,2,0,0,0,6,5,22,3,2,1,35,1,9,3
5007695,São Gabriel do Oeste,2024,1,2,0,0,0,8,6,26,4,2,1,42,2,11,4
