cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
1100205,Porto Velho,2024,1,28,2,2,1,180,140,720,110,48,55,920,35,240,95
1100122,Ji-Paraná,2024,1,12,1,1,0,85,60,290,45,18,18,380,12,95,32
1100023,Ariquemes,2024,1,10,1,0,0,65,48,220,35,15,14,310,10,75,25
1100304,Vilhena,2024,1,8,0,1,0,52,38,180,28,12,10,260,8,62,20
1100049,Cacoal,2024,1,7,0,0,0,45,32,150,22,10,8,220,7,55,18
1100288,Rolim de Moura,2024,1,4,0,0,0,22,18,80,14,6,4,120,4,35,10
1100114,Jaru,2024,1,4,0,0,0,20,15,72,12,5,4,110,4,30,9
1100106,Guajará-Mirim,2024,1,5,0,0,0,28,22,95,15,7,5,135,4,58,14
1100155,Ouro Preto do Oeste,2024,1,3,0,0,0,14,10,48,8,4,2,78,3,22,6
1100189,Pimenta Bueno,2024,1,3,0,0,0,12,9,42,7,3,2,70,3,20,5
1100452,Buritis,2024,1,5,0,0,0,18,14,60,10,5,3,95,3,38,12
1100130,Machadinho D'Oeste,2024,1,4,0,0,0,16,12,52,9,4,3,85,3,32,10
1100098,Espigão D'Oeste,2024,1,2,0,0,0,10,8,35,5,2,2,58,2,16,4
1100015,Alta Floresta D'Oeste,2024,1,2,0,0,0,8,6,28,4,2,1,48,2,14,4
1100801,Candeias do Jamari,2024,1,4,0,0,0,19,13,62,10,5,3,92,3,34,8
1100320,São Miguel do Guaporé,2024,1,2,0,0,0,9,7,30,4,2,1,45,2,12,4
1100338,Nova Mamoré,2024,1,3,0,0,0,15,11,45,7,3,2,68,2,26,7
1100064,Colorado do Oeste,2024,1,1,0,0,0,6,5,20,3,1,1,32,1,8,2
