cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
2408102,Natal,2024,1,28,2,1,1,140,115,620,110,45,55,980,32,210,85
2408003,Mossoró,2024,1,16,1,0,0,75,58,290,52,22,18,440,18,110,48
2403251,Parnamirim,2024,1,12,1,0,0,55,42,220,38,15,14,310,12,78,32
2412005,São Gonçalo do Amarante,2024,1,9,1,0,0,38,28,150,25,12,10,210,9,56,25
2402600,Ceará-Mirim,2024,1,7,0,0,0,24,18,95,16,8,6,140,6,35,16
2407104,Macaíba,2024,1,8,1,0,0,28,22,110,18,9,8,160,7,42,18
2402006,Caicó,2024,1,3,0,0,0,12,10,48,8,4,2,75,4,20,9
2400208,Açu,2024,1,3,0,0,0,11,9,45,7,3,2,70,3,18,8
2411502,São José de Mipibu,2024,1,4,0,0,0,14,11,55,9,4,3,80,4,22,10
2403103,Currais Novos,2024,1,2,0,0,0,7,6,32,5,2,1,50,2,14,6
2413300,Santa Cruz,2024,1,2,0,0,0,6,5,28,4,2,1,44,2,12,5
2408300,Nova Cruz,2024,1,2,0,0,0,6,5,26,4,2,1,42,2,11,5
2401008,Apodi,2024,1,1,0,0,0,5,4,22,3,1,1,35,2,9,4
2405801,João Câmara,2024,1,2,0,0,0,6,5,25,4,2,1,38,2,10,4
2414407,Touros,2024,1,1,0,0,0,5,4,24,3,1,1,36,2,9,4
2403756,Extremoz,2024,1,4,0,0,0,16,12,65,10,5,3,90,4,24,11
