cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
1200401,Rio Branco,2024,1,22,2,1,1,160,120,680,95,42,48,850,30,210,85
1200203,Cruzeiro do Sul,2024,1,10,1,1,0,75,52,240,38,15,14,320,10,80,28
1200500,Sena Madureira,2024,1,6,0,0,0,32,25,120,18,8,6,160,5,42,14
1200609,Tarauacá,2024,1,5,0,0,0,28,20,100,15,6,5,140,5,38,12
1200302,Feijó,2024,1,4,0,0,0,22,16,80,12,5,4,110,4,30,9
1200104,Brasiléia,2024,1,5,0,1,0,35,28,110,16,8,6,150,4,52,15
1200450,Senador Guiomard,2024,1,3,0,0,0,18,14,62,10,4,3,88,3,25,8
1200385,Plácido de Castro,2024,1,3,0,0,0,16,12,55,8,4,3,78,3,22,7
1200708,Xapuri,2024,1,2,0,0,0,12,9,42,6,3,2,62,2,18,5
1200252,Epitaciolândia,2024,1,3,0,0,0,20,15,68,10,5,3,92,2,32,9
1200336,Mâncio Lima,2024,1,2,0,0,0,10,8,35,5,2,2,50,2,15,4
1200807,Porto Acre,2024,1,2,0,0,0,12,9,38,6,3,2,55,2,16,4
1200427,Rodrigues Alves,2024,1,1,0,0,0,8,6,28,4,2,1,42,1,12,3
1200351,Marechal Thaumaturgo,2024,1,1,0,0,0,6,5,22,3,1,1,32,1,10,2
1200344,Manoel Urbano,2024,1,1,0,0,0,5,4,18,2,1,1,28,1,8,2
1200393,Porto Walter,2024,1,1,0,0,0,5,4,16,2,1,1,25,1,8,2
1200013,Acrelândia,2024,1,2,0,0,0,10,8,32,5,2,2,48,2,14,4
1200179,Capixaba,2024,1,1,0,0,0,8,6,25,4,2,1,38,1,10,3
