cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
5103403,Cuiabá,2024,1,28,2,1,1,190,140,780,120,50,60,980,35,250,95
5108402,Várzea Grande,2024,1,18,1,1,0,120,85,420,65,28,30,540,18,140,52
5107602,Rondonópolis,2024,1,12,1,0,0,65,48,220,36,16,14,310,12,85,32
5107909,Sinop,2024,1,10,0,0,0,48,38,175,28,12,10,260,10,72,26
5107958,Tangará da Serra,2024,1,6,0,0,0,22,18,85,14,7,5,140,5,34,14
5102504,Cáceres,2024,1,5,0,0,0,18,14,72,11,6,4,115,4,28,11
5107925,Sorriso,2024,1,8,0,0,0,32,24,110,18,8,6,180,7,45,18
5105259,Lucas do Rio Verde,2024,1,5,0,0,0,20,16,68,10,5,4,110,4,26,10
5107040,Primavera do Leste,2024,1,4,0,0,0,16,12,58,9,4,3,95,4,22,8
5101803,Barra do Garças,2024,1,3,0,0,0,12,9,45,7,3,2,75,3,18,7
5100250,Alta Floresta,2024,1,3,0,0,0,10,8,38,6,3,2,62,2,15,5
5106752,Pontes e Lacerda,2024,1,4,0,0,0,14,10,48,8,4,2,78,3,20,8
5105101,Juína,2024,1,2,0,0,0,8,6,28,4,2,1,45,2,11,4
5102678,Campo Verde,2024,1,2,0,0,0,7,5,25,4,2,1,40,2,10,4
5105150,Juara,2024,1,1,0,0,0,5,4,20,3,1,1,32,1,8,3
5106422,Peixoto de Azevedo,2024,1,2,0,0,0,6,5,22,3,2,1,36,2,9,4
5106224,Nova Mutum,2024,1,3,0,0,0,11,9,42,6,3,2,68,3,16,6
