cod_ibge;municipio;ano;mes;homicidio_doloso;latrocinio;feminicidio;roubo_veiculo;furto_veiculo;roubo;furto;estupro;trafico_drogas;apreensao_armas
4106902;Curitiba;2024;1;18;1;2;95;185;720;1680;32;210;68
4113700;Londrina;2024;1;6;0;0;35;72;190;510;11;75;22
4115200;Maringá;2024;1;4;0;1;20;45;110;380;8;58;16
4119905;Ponta Grossa;2024;1;5;0;0;18;38;95;320;7;50;14
4104808;Cascavel;2024;1;4;0;0;22;42;80;290;9;65;19
4108304;Foz do Iguaçu;2024;1;7;0;0;30;60;140;350;6;85;28
4125506;São José dos Pinhais;2024;1;5;1;0;40;65;150;340;8;60;18
4105805;Colombo;2024;1;4;0;0;28;48;115;260;6;45;12
4109401;Guarapuava;2024;1;3;0;0;8;18;45;180;5;32;8
4118204;Paranaguá;2024;1;6;0;0;12;24;70;210;4;42;15
4101804;Araucária;2024;1;3;0;0;25;35;85;195;5;38;10
