cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
1400100,Boa Vista,2024,1,20,2,1,1,150,110,650,90,40,42,800,28,190,80
1400472,Rorainópolis,2024,1,5,0,0,0,25,18,90,14,6,4,130,4,35,10
1400209,Caracaraí,2024,1,3,0,0,0,15,12,50,8,4,2,80,3,20,6
1400456,Pacaraima,2024,1,4,0,0,0,20,15,75,12,5,3,100,4,45,12
1400175,Cantá,2024,1,2,0,0,0,12,9,38,6,3,2,58,2,16,4
1400308,Mucajaí,2024,1,2,0,0,0,10,8,35,5,2,2,52,2,15,4
1400050,Alto Alegre,2024,1,2,0,0,0,12,9,40,6,3,2,60,2,18,5
1400159,Bonfim,2024,1,2,0,0,0,14,10,45,7,3,2,65,2,22,6
1400027,Amajari,2024,1,1,0,0,0,8,6,25,4,2,1,38,1,12,3
1400282,Iracema,2024,1,1,0,0,0,6,5,20,3,1,1,30,1,10,2
1400233,Caroebe,2024,1,1,0,0,0,5,4,18,2,1,1,28,1,8,2
1400407,Normandia,2024,1,1,0,0,0,6,5,22,3,1,1,32,1,10,2
1400704,Uiramutã,2024,1,1,0,0,0,4,3,15,2,1,1,22,1,8,2
1400506,São João da Baliza,2024,1,1,0,0,0,5,4,16,2,1,1,25,1,8,2
1400605,São Luiz,2024,1,1,0,0,0,4,3,12,1,1,1,20,1,6,1
