cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
2704302,Maceió,2024,1,34,3,2,1,160,130,710,120,50,60,1100,38,240,95
2700300,Arapiraca,2024,1,14,1,0,0,65,48,260,45,18,12,380,14,95,42
2707701,Rio Largo,2024,1,8,1,0,0,32,24,140,22,10,8,180,8,52,22
2706703,Palmeira dos Índios,2024,1,6,0,0,0,20,15,85,14,6,4,120,5,30,14
2709152,Teotônio Vilela,2024,1,4,0,0,0,12,9,48,8,3,2,70,3,18,8
2708907,São Miguel dos Campos,2024,1,5,0,0,0,18,12,75,12,5,3,105,4,26,11
2702306,Coruripe,2024,1,4,0,0,0,14,10,55,9,4,2,80,3,20,9
2702405,Delmiro Gouveia,2024,1,3,0,0,0,11,8,45,7,3,2,65,3,16,7
2704708,Marechal Deodoro,2024,1,5,0,0,0,16,12,68,10,4,3,95,4,24,10
2708600,Santana do Ipanema,2024,1,3,0,0,0,10,8,42,6,3,1,60,3,15,6
2709301,União dos Palmares,2024,1,5,0,0,0,15,11,62,10,4,2,90,4,22,9
2706901,Penedo,2024,1,4,0,0,0,14,10,58,9,4,2,82,3,20,8
2708006,Pilar,2024,1,4,0,0,0,12,9,50,8,3,2,72,3,18,8
2708808,São Luís do Quitunde,2024,1,3,0,0,0,9,7,38,6,2,1,54,2,14,6
2708709,São José da Tapera,2024,1,2,0,0,0,7,5,30,5,2,1,44,2,11,5
2702207,Campo Alegre,2024,1,4,0,0,0,13,9,52,8,3,2,75,3,19,8
