cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,pirataria_fluvial,furto,estupro,trafico_drogas,apreensao_armas
1302603,Manaus,2024,1,42,4,2,1,180,140,820,165,58,95,12,1250,48,280,110
1303403,Parintins,2024,1,3,0,0,0,8,15,45,12,6,1,4,110,6,22,8
1301902,Itacoatiara,2024,1,4,1,0,0,12,18,60,14,8,2,3,130,8,28,12
1302504,Manacapuru,2024,1,5,0,1,0,15,22,75,18,9,3,5,145,7,35,14
1301209,Coari,2024,1,6,1,0,0,6,10,38,9,5,1,16,85,5,32,18
1304062,Tabatinga,2024,1,7,0,0,1,9,14,52,11,6,2,8,95,6,45,22
1304203,Tefé,2024,1,3,0,0,0,5,8,30,7,4,1,10,70,4,24,10
1302900,Maués,2024,1,2,0,0,0,4,9,25,5,3,1,2,60,3,15,6
1302108,Iranduba,2024,1,4,0,0,0,11,16,55,10,5,2,3,90,5,26,11
1303809,São Gabriel da Cachoeira,2024,1,2,0,0,0,3,6,18,4,2,0,4,45,3,14,5
1300607,Benjamin Constant,2024,1,2,0,0,0,2,5,15,3,2,0,5,40,2,16,7
1301704,Humaitá,2024,1,3,0,0,0,7,12,35,8,4,1,2,75,4,18,8
1302405,Lábrea,2024,1,2,0,0,0,3,7,20,4,3,0,2,50,3,12,5
1300201,Autazes,2024,1,1,0,0,0,4,8,22,5,3,1,3,48,2,11,4
1303536,Presidente Figueiredo,2024,1,2,0,0,0,5,10,28,6,4,1,1,55,3,14,6
1301402,Careiro,2024,1,1,0,0,0,3,6,16,3,2,0,2,38,2,9,3
