cod_ibge;municipio;ano;mes;cvli;homicidio_doloso;latrocinio;feminicidio;lesao_morte;roubo_veiculo;furto_veiculo;roubo_onibus;roubo_comercio;roubo_transeunte;furto;estupro;trafico_drogas;apreensao_armas
2927408;Salvador;2024;1;72;68;2;1;1;290;180;42;115;1420;1850;45;260;110
2910800;Feira de Santana;2024;1;28;26;1;0;1;95;62;8;35;410;520;16;85;38
2933307;Vitória da Conquista;2024;1;12;11;0;1;0;32;28;2;14;160;240;8;42;18
2905701;Camaçari;2024;1;15;14;1;0;0;58;36;6;22;210;280;9;50;22
2918407;Juazeiro;2024;1;9;9;0;0;0;22;19;1;8;95;150;6;30;12
2914802;Itabuna;2024;1;7;7;0;0;0;18;15;1;6;80;130;5;25;10
2919207;Lauro de Freitas;2024;1;10;9;0;1;0;45;28;5;18;175;230;7;38;16
2913606;Ilhéus;2024;1;5;5;0;0;0;12;14;1;5;65;110;4;20;8
2918001;Jequié;2024;1;8;8;0;0;0;10;12;0;4;55;95;4;22;9
2931350;Teixeira de Freitas;2024;1;6;6;0;0;0;14;16;0;5;60;105;5;24;10
2900702;Alagoinhas;2024;1;6;5;1;0;0;16;18;1;6;70;115;4;22;9
2925303;Porto Seguro;2024;1;7;7;0;0;0;15;22;0;8;85;160;6;35;11
2903201;Barreiras;2024;1;4;4;0;0;0;10;14;0;4;50;90;3;18;7
