cod_ibge,regiao_administrativa,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
5300108,Plano Piloto,2024,1,1,0,0,0,12,38,180,22,6,10,540,8,42,16
5300108,Ceilândia,2024,1,8,1,0,0,45,36,240,28,14,18,480,14,75,28
5300108,Taguatinga,2024,1,4,0,1,0,28,32,160,20,10,12,390,9,52,18
5300108,Samambaia,2024,1,5,1,0,0,24,22,140,16,9,11,320,8,48,16
5300108,Gama,2024,1,3,0,0,0,16,18,85,12,7,6,220,6,34,12
5300108,Sobradinho,2024,1,2,0,0,0,11,14,58,8,5,4,160,4,22,8
5300108,Planaltina,2024,1,4,0,0,0,18,16,95,11,8,7,210,5,36,14
5300108,Guará,2024,1,1,0,0,0,10,18,64,9,4,5,190,3,20,7
5300108,Santa Maria,2024,1,4,0,0,0,19,17,110,14,8,8,240,6,38,15
5300108,Recanto das Emas,2024,1,3,0,0,0,15,14,90,10,6,7,195,5,32,11
5300108,São Sebastião,2024,1,2,0,0,0,9,11,54,7,4,3,140,4,24,8
5300108,Águas Claras,2024,1,0,0,0,0,8,16,42,6,3,2,175,2,16,5
5300108,Riacho Fundo,2024,1,1,0,0,0,7,10,38,5,3,3,110,3,15,6
5300108,Vicente Pires,2024,1,1,0,0,0,6,12,34,5,3,2,125,2,14,5
