cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
5208707,Goiânia,2024,1,18,1,1,0,84,110,340,58,24,12,780,22,145,55
5201405,Aparecida de Goiânia,2024,1,12,1,0,0,45,62,185,32,16,6,420,14,88,34
5201108,Anápolis,2024,1,8,0,1,0,28,44,120,24,11,4,310,10,65,22
5218805,Rio Verde,2024,1,5,0,0,0,16,28,68,14,8,1,195,6,42,16
5200258,Águas Lindas de Goiás,2024,1,9,1,0,0,32,38,140,18,12,3,240,8,48,18
5212501,Luziânia,2024,1,7,0,1,0,26,34,115,16,9,2,210,7,40,15
5221858,Valparaíso de Goiás,2024,1,6,1,0,0,24,30,98,14,7,2,180,6,38,14
5220454,Senador Canedo,2024,1,4,0,0,0,14,18,52,9,5,1,120,4,26,10
5221403,Trindade,2024,1,5,0,0,0,18,22,64,11,6,1,145,5,30,11
5208004,Formosa,2024,1,4,0,0,0,12,16,48,8,4,1,110,4,24,9
5211503,Itumbiara,2024,1,3,0,0,0,10,14,40,7,4,0,95,3,20,8
5211909,Jataí,2024,1,3,0,0,0,9,12,36,6,3,0,90,3,18,7
5217609,Planaltina,2024,1,4,0,0,0,11,15,44,8,4,1,105,3,22,8
5215231,Novo Gama,2024,1,4,0,0,0,13,16,46,7,4,1,100,3,21,8
