cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
2111300,São Luís,2024,1,28,3,1,1,165,130,780,140,45,68,1100,42,240,95
2105302,Imperatriz,2024,1,12,1,0,0,55,42,210,38,15,12,320,15,85,34
2111201,São José de Ribamar,2024,1,9,1,1,0,38,28,160,25,12,18,240,11,62,22
2112209,Timon,2024,1,8,1,0,0,32,25,145,22,10,8,195,9,54,19
2103000,Caxias,2024,1,6,0,0,0,24,18,115,18,8,6,160,8,42,16
2107506,Paço do Lumiar,2024,1,7,1,0,0,26,20,130,20,9,14,180,9,48,18
2103307,Codó,2024,1,4,0,0,0,16,14,80,12,6,4,120,6,30,12
2100055,Açailândia,2024,1,5,0,0,0,18,15,85,14,7,5,135,7,36,14
2101202,Bacabal,2024,1,4,0,0,0,15,12,75,11,5,3,110,5,28,11
2101400,Balsas,2024,1,3,0,0,0,12,10,65,10,5,2,95,5,25,10
2109908,Santa Inês,2024,1,4,0,0,0,14,11,70,12,6,3,105,6,27,11
2101608,Barra do Corda,2024,1,3,0,0,0,10,9,55,8,4,2,85,4,22,9
2108603,Pinheiro,2024,1,3,0,0,0,11,8,58,9,5,2,90,4,24,9
2103208,Chapadinha,2024,1,2,0,0,0,8,7,45,7,4,1,70,3,18,7
2110005,Santa Luzia,2024,1,2,0,0,0,7,6,40,6,3,1,65,3,16,6
2102325,Buriticupu,2024,1,3,0,0,0,9,8,48,8,4,2,75,4,20,8
