cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
2211001,Teresina,2024,1,35,3,1,1,240,180,920,150,65,75,1200,42,310,120
2207702,Parnaíba,2024,1,12,1,0,0,45,35,180,28,12,10,240,8,60,24
2208007,Picos,2024,1,8,0,0,0,25,20,95,15,8,5,140,5,35,14
2208403,Piripiri,2024,1,6,0,0,0,18,14,70,11,6,4,105,4,26,10
2203909,Floriano,2024,1,5,0,0,0,16,12,65,10,5,3,95,4,24,9
2202208,Campo Maior,2024,1,4,0,0,0,14,10,54,8,4,2,80,3,20,8
2201200,Barras,2024,1,3,0,0,0,10,8,42,6,3,2,62,3,16,6
2211100,União,2024,1,3,0,0,0,11,9,44,7,3,2,65,3,17,6
2200400,Altos,2024,1,4,0,0,0,12,10,48,8,4,2,72,3,19,7
2203701,Esperantina,2024,1,3,0,0,0,9,7,36,6,3,1,54,2,14,5
2205508,José de Freitas,2024,1,2,0,0,0,8,6,32,5,2,1,48,2,12,5
2207900,Pedro II,2024,1,2,0,0,0,7,5,28,4,2,1,42,2,10,4
2207009,Oeiras,2024,1,2,0,0,0,8,6,30,5,2,1,45,2,11,4
2210003,São Raimundo Nonato,2024,1,2,0,0,0,7,6,29,4,2,1,44,2,11,4
2206209,Miguel Alves,2024,1,1,0,0,0,5,4,22,3,1,1,32,1,8,3
2205706,Luís Correia,2024,1,3,0,0,0,12,9,48,8,4,2,70,3,18,6
