cod_ibge;municipio;ano;mes;homicidio_doloso;latrocinio;feminicidio;roubo_veiculo;furto_veiculo;roubo;furto;estupro;trafico_entorpecentes;delitos_armas_municoes
4314902;Porto Alegre;2024;1;22;2;1;180;260;1120;2150;35;290;85
4305108;Caxias do Sul;2024;1;8;0;0;45;78;165;480;12;80;24
4314407;Pelotas;2024;1;4;0;0;22;38;140;390;8;65;18
4304606;Canoas;2024;1;6;1;0;65;92;280;610;14;110;32
4316907;Santa Maria;2024;1;5;0;1;12;28;95;340;9;55;15
4309209;Gravataí;2024;1;4;0;0;38;52;125;290;7;48;12
4323002;Viamão;2024;1;7;0;0;42;60;150;310;8;52;16
4313409;Novo Hamburgo;2024;1;3;0;0;35;48;130;320;6;60;19
4318705;São Leopoldo;2024;1;4;0;0;32;44;115;280;7;58;14
4315602;Rio Grande;2024;1;5;0;0;10;22;85;260;6;45;11
4314100;Passo Fundo;2024;1;2;0;0;15;30;70;240;5;40;10
