cod_ibge;municipio;ano;mes;homicidio_doloso;latrocinio;feminicidio;roubo_veiculo;furto_veiculo;roubo;furto;estupro;trafico_drogas;apreensao_armas
4205407;Florianópolis;2024;1;8;0;1;22;75;180;720;18;95;34
4209102;Joinville;2024;1;7;0;0;28;65;160;610;15;82;28
4202404;Blumenau;2024;1;2;0;0;8;30;65;290;9;45;12
4216602;São José;2024;1;4;0;0;19;42;115;380;8;55;18
4204202;Chapecó;2024;1;3;0;0;6;22;48;210;7;38;14
4208203;Itajaí;2024;1;4;0;0;14;38;85;330;10;50;16
4204608;Criciúma;2024;1;3;0;0;10;26;52;240;6;42;11
4202008;Balneário Camboriú;2024;1;1;0;0;8;28;60;360;5;48;10
4202909;Brusque;2024;1;1;0;0;3;12;22;140;4;20;6
4218707;Tubarão;2024;1;2;0;0;5;16;32;160;5;25;8
4209300;Lages;2024;1;2;0;0;4;14;35;175;6;28;9
4211900;Palhoça;2024;1;3;0;0;12;32;70;250;7;36;12
