cod_ibge,municipio,ano,mes,homicidio_doloso,latrocinio,feminicidio,lesao_morte,roubo_veiculo,furto_veiculo,roubo_transeunte,roubo_comercio,roubo_residencia,roubo_coletivo,furto,estupro,trafico_drogas,apreensao_armas
2800308,Aracaju,2024,1,22,2,1,1,120,95,540,90,38,45,820,28,180,72
2804805,Nossa Senhora do Socorro,2024,1,12,1,0,0,50,38,210,34,14,12,280,10,72,28
2803500,Lagarto,2024,1,7,0,0,0,22,16,88,14,7,5,130,5,32,14
2802908,Itabaiana,2024,1,8,1,0,0,26,20,105,16,8,6,150,6,38,16
2806701,São Cristóvão,2024,1,6,0,0,0,18,14,78,12,6,4,115,5,28,12
2802106,Estância,2024,1,5,0,0,0,15,11,62,10,5,3,90,4,22,9
2807402,Tobias Barreto,2024,1,4,0,0,0,12,9,48,8,4,2,70,3,18,8
2806008,Simão Dias,2024,1,3,0,0,0,9,7,36,6,3,1,52,2,14,6
2804904,Nossa Senhora da Glória,2024,1,3,0,0,0,10,8,40,7,3,2,58,3,15,6
2805307,Propriá,2024,1,2,0,0,0,8,6,30,5,2,1,44,2,12,5
2800605,Barra dos Coqueiros,2024,1,4,0,0,0,14,10,56,9,4,3,80,3,20,9
2803005,Itabaianinha,2024,1,3,0,0,0,9,7,35,6,3,1,50,2,14,6
2805406,Poço Redondo,2024,1,2,0,0,0,6,5,25,4,2,1,36,2,10,4
2801009,Campo do Brito,2024,1,1,0,0,0,5,4,20,3,1,1,30,1,8,3
2801207,Capela,2024,1,2,0,0,0,7,5,28,5,2,1,40,2,11,5
2803609,Laranjeiras,2024,1,3,0,0,0,8,6,32,5,2,1,46,2,12,5
