NUM_BO,ANO_BO,DATAOCORRENCIA,HORAOCORRENCIA,LOGRADOURO,NUMERO_LOGRADOURO,BAIRRO,CIDADE,UF,LATITUDE,LONGITUDE,DESCRICAO_LOCAL,DELEGACIA_NOME,NATUREZA_APURADA
10234,2024,15/03/2024,22:15,Avenida Paulista,1000,Bela Vista,São Paulo,SP,-23.5654,-46.6515,Via Pública,78º DP - Jardins,ROUBO DE VEÍCULO
10235,2024,16/03/2024,01:30,Rua Augusta,500,Consolação,S. Paulo,SP,-23.5512,-46.6543,Comércio,04º DP - Consolação,FURTO DE VEÍCULO
10236,2024,18/03/2024,20:45,Rua Teodoro Sampaio,1200,Pinheiros,Capital,SP,-23.5601,-46.6852,Via Pública,14º DP - Pinheiros,ROUBO - OUTROS
10237,2024,19/03/2024,14:20,Avenida Pereira Barreto,400,Baeta Neves,S. Bernardo do Campo,SP,-23.6923,-46.5412,Estacionamento,01º DP - São Bernardo,ROUBO DE CARGA
10238,2024,20/03/2024,23:10,Avenida Francisco Glicério,850,Centro,Campinas,SP,-22.9054,-47.0589,Via Pública,01º DP - Campinas,HOMICÍDIO DOLOSO
10239,2024,21/03/2024,09:00,Rua Marechal Deodoro,300,Centro,Santo André,SP,-23.6589,-46.5312,Residência,01º DP - Santo André,ESTUPRO DE VULNERÁVEL
10240,2024,22/03/2024,17:40,Avenida dos Autonomistas,1500,Vila Yara,Osasco,SP,-23.5356,-46.7721,Via Pública,05º DP - Osasco,LESÃO CORPORAL DOLOSA
10241,2024,23/03/2024,11:30,Avenida Ana Costa,250,Gonzaga,Santos,SP,-23.9621,-46.3312,Comércio,07º DP - Santos,TRÁFICO DE ENTORPECENTES
10242,2024,24/03/2024,16:00,Rua da Consolação,2000,Centro,São Paulo,SP,-23.5543,-46.6601,Internet/Outros,04º DP - Consolação,DELITO VIRTUAL INÉDITO
10243,2024,25/03/2024,18:20,Avenida Brasil,120,Jardim América,São Paulo,SP,,,Via Pública,14º DP - Pinheiros,FURTO - OUTROS
10234,2024,15/03/2024,22:15,Avenida Paulista,1000,Bela Vista,São Paulo,SP,-23.5654,-46.6515,Via Pública,78º DP - Jardins,ROUBO DE VEÍCULO
