cod_ibge,municipio,ano,mes,cvli,homicidio_doloso,latrocinio,feminicidio,lesao_morte,cvp,cvp_veiculo,furto_veiculo,cvp_coletivo,cvp_comercio,cvp_transeunte,furto,estupro,trafico_drogas,apreensao_armas
2304400,Fortaleza,2024,1,62,56,3,2,1,1420,285,140,54,180,941,1650,48,220,115
2303709,Caucaia,2024,1,28,25,1,1,1,340,78,36,12,48,202,310,16,75,32
2307304,Juazeiro do Norte,2024,1,14,13,1,0,0,185,42,26,4,32,107,220,11,58,22
2307700,Maracanaú,2024,1,19,17,1,1,0,260,58,31,10,38,154,240,12,64,28
2312908,Sobral,2024,1,12,11,0,1,0,140,30,19,3,22,85,170,9,46,18
2304103,Crato,2024,1,7,6,1,0,0,85,18,12,2,14,51,110,6,32,12
2306405,Itapipoca,2024,1,8,7,0,1,0,78,16,11,2,12,48,95,5,28,10
2307650,Maranguape,2024,1,9,8,1,0,0,92,20,13,3,15,54,105,6,34,14
2305233,Eusébio,2024,1,6,5,0,1,0,80,18,10,2,16,44,88,4,29,11
2305506,Iguatu,2024,1,5,5,0,0,0,62,14,9,1,10,37,82,4,24,9
2311306,Quixadá,2024,1,4,4,0,0,0,55,12,8,1,9,33,74,3,21,8
2309706,Pacatuba,2024,1,7,6,0,1,0,72,15,10,2,12,43,80,4,26,10
2301000,Aquiraz,2024,1,5,4,1,0,0,68,14,9,1,11,42,85,4,25,9
2311405,Quixeramobim,2024,1,3,3,0,0,0,45,9,6,1,8,27,62,2,18,7
